BIOSAMPLE	BIOSAMPLE_COMMENT	BIOSAMPLE_ORGANISM	BIOSAMPLE_TITLE	ENA-CHECKLIST	ENA_first_public	GUNC_clade_separation_score	GUNC_contamination_score	GUNC_reference_representation_score	GUNC_version	ID	INSDC_center_name	INSDC_status	MAG_coverage_software	SPIRE_genome_cluster	SPIRE_genome_id	Submitter_Id	assembly_quality	assembly_software	binning_parameters	binning_software	collection_date	completeness_score	completeness_software	contamination_score	contig_N50	derived_from_assembly	env_broad_scale	env_medium	geo_loc_name	geographic_location_(latitude)	geographic_location_(longitude)	host	isolation_source	lat_lon	linked_to_SPIRE_sample	linked_to_SPIRE_study	linked_to_analysis_project	local_environmental_context	metagenomic_source	number_of_contigs	project_name	sample_ID	sample_derived_from	sample_name	scientific_name	taxonomic_classification	taxonomic_classification_software	taxonomic_identity_marker
SAMN04262547		Uruburuella suis	Metagenome-Assembled Genome spire_mag_01090341 in SPIRE v01 classified as Neisseria suis	ERC000047	2025-10-14	0.3	0.02	0.71	GUNC v1.0.6		EMBL Heidelberg	public	bwa mem	https://spire.embl.de/spire/v1/cluster/specI_v4_35034	https://spire.embl.de/spire/v1/genome/spire_mag_01090341	spire_mag_01090341	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	50.71	CheckM2 v0.1.3	0.58	4238	ERZ27289552	missing: third party data	missing: third party data	missing: third party data	missing: third party data	missing: third party data		missing: third party data		https://spire.embl.de/spire/v1/sample/75903	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	307	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource		SAMN04262547	spire_mag_01090341	Uruburuella suis	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria suis	GTDBtk v2.3.2_r214	multi-marker approach
SAMN04262548		Bifidobacterium adolescentis	Metagenome-Assembled Genome spire_mag_01091812 in SPIRE v01 classified as Bifidobacterium adolescentis	ERC000047	2025-10-13	0.0	0.0	0.95	GUNC v1.0.6		EMBL Heidelberg	public	bwa mem	https://spire.embl.de/spire/v1/cluster/specI_v4_00075	https://spire.embl.de/spire/v1/genome/spire_mag_01091812	spire_mag_01091812	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	84.51	CheckM2 v0.1.3	1.57	7713	ERZ27289553	missing: third party data	missing: third party data	missing: third party data	missing: third party data	missing: third party data		missing: third party data		https://spire.embl.de/spire/v1/sample/75837	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	255	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource		SAMN04262548	spire_mag_01091812	Bifidobacterium adolescentis	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	GTDBtk v2.3.2_r214	multi-marker approach
SAMN04262549		Ancrocorticia sp.	Metagenome-Assembled Genome spire_mag_01091184 in SPIRE v01 classified as Ancrocorticia	ERC000047	2025-10-13	0.32	0.17	0.52	GUNC v1.0.6		EMBL Heidelberg	public	bwa mem	https://spire.embl.de/spire/v1/cluster/spire_v1_095_000348485	https://spire.embl.de/spire/v1/genome/spire_mag_01091184	spire_mag_01091184	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	72.82	CheckM2 v0.1.3	2.84	7529	ERZ27289554	missing: third party data	missing: third party data	missing: third party data	missing: third party data	missing: third party data		missing: third party data		https://spire.embl.de/spire/v1/sample/75982	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	300	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource		SAMN04262549	spire_mag_01091184	Ancrocorticia sp.	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Ancrocorticia;s__	GTDBtk v2.3.2_r214	multi-marker approach
SAMN04262550		Uruburuella suis	Metagenome-Assembled Genome spire_mag_01091084 in SPIRE v01 classified as Neisseria suis	ERC000047	2025-10-14	0.27	0.03	0.7	GUNC v1.0.6		EMBL Heidelberg	public	bwa mem	https://spire.embl.de/spire/v1/cluster/specI_v4_35034	https://spire.embl.de/spire/v1/genome/spire_mag_01091084	spire_mag_01091084	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	83.67	CheckM2 v0.1.3	2.56	6363	ERZ27289556	missing: third party data	missing: third party data	missing: third party data	missing: third party data	missing: third party data		missing: third party data		https://spire.embl.de/spire/v1/sample/75973	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	384	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource		SAMN04262550	spire_mag_01091084	Uruburuella suis	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria suis	GTDBtk v2.3.2_r214	multi-marker approach
SAMN04262552		Methylocystis sp.	Metagenome-Assembled Genome spire_mag_01090734 in SPIRE v01 classified as Methylocystis	ERC000047	2025-10-14	0.06	0.03	0.61	GUNC v1.0.6		EMBL Heidelberg	public	bwa mem	https://spire.embl.de/spire/v1/cluster/spire_v1_095_000377796	https://spire.embl.de/spire/v1/genome/spire_mag_01090734	spire_mag_01090734	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	85.09	CheckM2 v0.1.3	1.31	8619	ERZ27289557	missing: third party data	missing: third party data	missing: third party data	missing: third party data	missing: third party data		missing: third party data		https://spire.embl.de/spire/v1/sample/75877	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	302	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource		SAMN04262552	spire_mag_01090734	Methylocystis sp.	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	GTDBtk v2.3.2_r214	multi-marker approach
SAMN04262553		Rhodocyclaceae bacterium	Metagenome-Assembled Genome spire_mag_01092143 in SPIRE v01 classified as Fluviibacter	ERC000047	2025-10-13	0.15	0.51	0.56	GUNC v1.0.6		EMBL Heidelberg	public	bwa mem	https://spire.embl.de/spire/v1/cluster/spire_v1_095_000573198	https://spire.embl.de/spire/v1/genome/spire_mag_01092143	spire_mag_01092143	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	74.82	CheckM2 v0.1.3	4.49	7601	ERZ27289559	missing: third party data	missing: third party data	missing: third party data	missing: third party data	missing: third party data		missing: third party data		https://spire.embl.de/spire/v1/sample/75802	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	251	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource		SAMN04262553	spire_mag_01092143	Rhodocyclaceae bacterium	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Fluviibacter;s__	GTDBtk v2.3.2_r214	multi-marker approach
SAMN04262559		Gammaproteobacteria bacterium	Metagenome-Assembled Genome spire_mag_01092667 in SPIRE v01 classified as M0108 sp009928645	ERC000047	2025-10-13	0.28	0.17	0.59	GUNC v1.0.6		EMBL Heidelberg	public	bwa mem	https://spire.embl.de/spire/v1/cluster/specI_v4_30374	https://spire.embl.de/spire/v1/genome/spire_mag_01092667	spire_mag_01092667	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	79.23	CheckM2 v0.1.3	3.02	5599	ERZ27289560	missing: third party data	missing: third party data	missing: third party data	missing: third party data	missing: third party data		missing: third party data		https://spire.embl.de/spire/v1/sample/75719	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	513	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource		SAMN04262559	spire_mag_01092667	Gammaproteobacteria bacterium	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__M0108;s__M0108 sp009928645	GTDBtk v2.3.2_r214	multi-marker approach
SAMN04262560		Thiothrix unzii	Metagenome-Assembled Genome spire_mag_01092370 in SPIRE v01 classified as Thiothrix unzii	ERC000047	2025-10-14	0.0	0.0	0.74	GUNC v1.0.6		EMBL Heidelberg	public	bwa mem	https://spire.embl.de/spire/v1/cluster/spire_v1_095_000393943	https://spire.embl.de/spire/v1/genome/spire_mag_01092370	spire_mag_01092370	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	56.58	CheckM2 v0.1.3	1.40	4320	ERZ27289566	missing: third party data	missing: third party data	missing: third party data	missing: third party data	missing: third party data		missing: third party data		https://spire.embl.de/spire/v1/sample/75729	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	365	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource		SAMN04262560	spire_mag_01092370	Thiothrix unzii	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiothrix;s__Thiothrix unzii	GTDBtk v2.3.2_r214	multi-marker approach
SAMN04262562		uncultured bacterium	Metagenome-Assembled Genome spire_mag_01091986 in SPIRE v01 classified as VGCC01	ERC000047	2025-10-13	0.15	0.03	0.52	GUNC v1.0.6		EMBL Heidelberg	public	bwa mem	https://spire.embl.de/spire/v1/cluster/spire_v1_095_000329285	https://spire.embl.de/spire/v1/genome/spire_mag_01091986	spire_mag_01091986	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	77.73	CheckM2 v0.1.3	1.70	9384	ERZ27289567	missing: third party data	missing: third party data	missing: third party data	missing: third party data	missing: third party data		missing: third party data		https://spire.embl.de/spire/v1/sample/75796	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	233	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource		SAMN04262562	spire_mag_01091986	uncultured bacterium	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__VGCC01;s__	GTDBtk v2.3.2_r214	multi-marker approach
SAMN04262563		uncultured bacterium	Metagenome-Assembled Genome spire_mag_01091343 in SPIRE v01 classified as Mxb001	ERC000047	2025-10-14	0.16	0.03	0.48	GUNC v1.0.6		EMBL Heidelberg	public	bwa mem	https://spire.embl.de/spire/v1/cluster/spire_v1_095_000382708	https://spire.embl.de/spire/v1/genome/spire_mag_01091343	spire_mag_01091343	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	50.82	CheckM2 v0.1.3	1.39	4429	ERZ27289562	missing: third party data	missing: third party data	missing: third party data	missing: third party data	missing: third party data		missing: third party data		https://spire.embl.de/spire/v1/sample/75946	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	359	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource		SAMN04262563	spire_mag_01091343	uncultured bacterium	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__Mxb001;s__	GTDBtk v2.3.2_r214	multi-marker approach
SAMN04262564		uncultured bacterium	Metagenome-Assembled Genome spire_mag_01092763 in SPIRE v01 classified as Mxb001	ERC000047	2025-10-14	0.09	0.06	0.47	GUNC v1.0.6		EMBL Heidelberg	public	bwa mem	https://spire.embl.de/spire/v1/cluster/spire_v1_095_000325171	https://spire.embl.de/spire/v1/genome/spire_mag_01092763	spire_mag_01092763	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	60.81	CheckM2 v0.1.3	6.64	6267	ERZ27289565	missing: third party data	missing: third party data	missing: third party data	missing: third party data	missing: third party data		missing: third party data		https://spire.embl.de/spire/v1/sample/75763	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	422	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource		SAMN04262564	spire_mag_01092763	uncultured bacterium	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__Mxb001;s__	GTDBtk v2.3.2_r214	multi-marker approach
SAMN04262565	SPIRE v01 sample. This is a virtual sample, derived from SAMN04262565.	metagenome	SPIRE v01 sample spire_sample_75908.	ERC000011	2025-09-16						EMBL Heidelberg	public				spire_sample_75908					missing: third party data								missing: third party data															spire_sample_75908	metagenome			
SAMN04262566	SPIRE v01 sample. This is a virtual sample, derived from SAMN04262566.	metagenome	SPIRE v01 sample spire_sample_75840.	ERC000011	2025-09-16						EMBL Heidelberg	public				spire_sample_75840					missing: third party data								missing: third party data															spire_sample_75840	metagenome			
SAMN04262567	SPIRE v01 sample. This is a virtual sample, derived from SAMN04262567.	metagenome	SPIRE v01 sample spire_sample_75986.	ERC000011	2025-09-16						EMBL Heidelberg	public				spire_sample_75986					missing: third party data								missing: third party data															spire_sample_75986	metagenome			
SAMN04262568	SPIRE v01 sample. This is a virtual sample, derived from SAMN04262568.	metagenome	SPIRE v01 sample spire_sample_75717.	ERC000011	2025-09-16						EMBL Heidelberg	public				spire_sample_75717					missing: third party data								missing: third party data															spire_sample_75717	metagenome			
SAMN04262569	SPIRE v01 sample. This is a virtual sample, derived from SAMN04262569.	metagenome	SPIRE v01 sample spire_sample_75855.	ERC000011	2025-09-16						EMBL Heidelberg	public				spire_sample_75855					missing: third party data								missing: third party data															spire_sample_75855	metagenome			
SAMN04262570	SPIRE v01 sample. This is a virtual sample, derived from SAMN04262570.	metagenome	SPIRE v01 sample spire_sample_75884.	ERC000011	2025-09-16						EMBL Heidelberg	public				spire_sample_75884					missing: third party data								missing: third party data															spire_sample_75884	metagenome			
SAMN04262572	SPIRE v01 sample. This is a virtual sample, derived from SAMN04262572.	metagenome	SPIRE v01 sample spire_sample_75954.	ERC000011	2025-09-16						EMBL Heidelberg	public				spire_sample_75954					missing: third party data								missing: third party data															spire_sample_75954	metagenome			
SAMN04262573	SPIRE v01 sample. This is a virtual sample, derived from SAMN04262573.	metagenome	SPIRE v01 sample spire_sample_75772.	ERC000011	2025-09-16						EMBL Heidelberg	public				spire_sample_75772					missing: third party data								missing: third party data															spire_sample_75772	metagenome			
SAMN04262574		Bifidobacterium adolescentis	Metagenome-Assembled Genome spire_mag_01090478 in SPIRE v01 classified as Bifidobacterium adolescentis	ERC000047	2025-10-14	0.0	0.0	0.95	GUNC v1.0.6		EMBL Heidelberg	public	bwa mem	https://spire.embl.de/spire/v1/cluster/specI_v4_00075	https://spire.embl.de/spire/v1/genome/spire_mag_01090478	spire_mag_01090478	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	81.18	CheckM2 v0.1.3	2.97	8509	ERZ27289576	missing: third party data	missing: third party data	missing: third party data	missing: third party data	missing: third party data		missing: third party data		https://spire.embl.de/spire/v1/sample/75918	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	234	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource		SAMN04262574	spire_mag_01090478	Bifidobacterium adolescentis	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	GTDBtk v2.3.2_r214	multi-marker approach
SAMN04262575		Bifidobacterium adolescentis	Metagenome-Assembled Genome spire_mag_01091896 in SPIRE v01 classified as Bifidobacterium adolescentis	ERC000047	2025-10-13	0.0	0.0	0.94	GUNC v1.0.6		EMBL Heidelberg	public	bwa mem	https://spire.embl.de/spire/v1/cluster/specI_v4_33593	https://spire.embl.de/spire/v1/genome/spire_mag_01091896	spire_mag_01091896	Many fragments with little to no review of assembly other than reporting of standard assembly statistics	megahit 1.2.9	tetramer and coverage	metaBAT2 v2.12.1	missing: third party data	64.11	CheckM2 v0.1.3	1.40	6037	ERZ27289577	missing: third party data	missing: third party data	missing: third party data	missing: third party data	missing: third party data		missing: third party data		https://spire.embl.de/spire/v1/sample/75845	https://spire.embl.de/spire/v1/study/501	ERP175227	missing: third party data	metagenomes	262	SPIRE v1: a Searchable Planetary-scale mIcrobiome REsource		SAMN04262575	spire_mag_01091896	Bifidobacterium adolescentis	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	GTDBtk v2.3.2_r214	multi-marker approach
SAMN04262576	SPIRE v01 sample. This is a virtual sample, derived from SAMN04262576.	metagenome	SPIRE v01 sample spire_sample_75989.	ERC000011	2025-09-16						EMBL Heidelberg	public				spire_sample_75989					missing: third party data								missing: third party data															spire_sample_75989	metagenome			
