SAMPLE	#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE	GENE_CLEAN
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_155280	1	714	+	erm(B)_10	25-738/738	===============	0/0	96.75	100.00	resfinder	U86375	erm(B)	Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	erm(B)
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_176728	1014	1880	-	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole	sul1
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_190200	1	591	+	mph(A)_1	167-757/906	..===========..	0/0	65.23	100.00	resfinder	D16251	mph(A)	Azithromycin;Erythromycin;Spiramycin;Telithromycin	mph(A)
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_206013	4	1929	-	tet(Q)_1	1-1926/1926	===============	0/0	100.00	97.04	resfinder	L33696	tet(Q)	Doxycycline;Minocycline;Tetracycline	tet(Q)
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_206477	1	635	-	cfxA3_1	38-672/966	===========....	0/0	65.73	97.17	resfinder	AF472622	cfxA3	Ampicillin	cfxA3
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_222006	92	671	-	aadA5_1	210-789/789	...============	0/0	73.51	100.00	resfinder	AF137361	aadA5	Spectinomycin;Streptomycin	aadA5
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_266263	227	1057	+	blaOXA-4_1	1-831/831	===============	0/0	100.00	100.00	resfinder	AY162283	blaOXA-4		blaOXA-4
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_267	633	1433	+	blaOXA-10_1	1-801/801	===============	0/0	100.00	99.38	resfinder	J03427	blaOXA-10	Amoxicillin;Ampicillin;Aztreonam;Piperacillin;Piperacillin+Tazobactam	blaOXA-10
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_270281	44	565	-	blaOXA-464_1	241-762/762	....===========	0/0	68.50	83.72	resfinder	KU721146	blaOXA-464		blaOXA-464
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_288960	173	691	-	blaIMP-28_1	223-741/741	....===========	0/0	70.04	98.07	resfinder	JQ407409	blaIMP-28	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam	blaIMP-28
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_289132	267	1007	-	blaIMP-16_1	1-741/741	===============	0/0	100.00	100.00	resfinder	AJ584652	blaIMP-16	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam	blaIMP-16
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_299040	482	1333	-	blaBEL-1_1	1-852/852	===============	0/0	100.00	99.18	resfinder	DQ089809	blaBEL-1	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid	blaBEL-1
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_307140	1	618	-	aadA10_2	1-618/834	============...	0/0	74.10	100.00	resfinder	AM087405	aadA10	Spectinomycin;Streptomycin	aadA10
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_309132	4130	4296	+	dfrB6_1	64-230/237	....===========	0/0	70.46	80.84	resfinder	DQ274503	dfrB6	Trimethoprim	dfrB6
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_312816	253	1052	+	blaOXA-20_2	2-801/801	===============	0/0	99.88	99.62	resfinder	AF024602	blaOXA-20	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid	blaOXA-20
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_315791	1	536	-	mph(G)_1	1-536/885	==========.....	0/0	60.56	94.22	resfinder	AB571865	mph(G)	Erythromycin	mph(G)
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_385550	17	818	+	ant(3'')-Ia_1	171-972/972	..=============	0/0	82.51	97.38	resfinder	X02340	ant(3'')-Ia	Streptomycin	ant(3'')-Ia
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_408149	1	615	-	blaOXA-119_1	1-615/801	============...	0/0	76.78	99.02	resfinder	DQ767903	blaOXA-119		blaOXA-119
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_410089	1055	1939	-	mph(E)_1	1-885/885	===============	0/0	100.00	100.00	resfinder	DQ839391	mph(E)	Erythromycin	mph(E)
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_410089	1995	3470	-	msr(E)_1	1-1476/1476	===============	0/0	100.00	100.00	resfinder	FR751518	msr(E)	Azithromycin;Erythromycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	msr(E)
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_413716	1	1168	-	mef(C)_1	1-1168/1224	===============	0/0	95.42	91.52	resfinder	AB571865	mef(C)	Erythromycin	mef(C)
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_44158	1	761	+	erm(F)_3	41-801/801	===============	0/0	95.01	99.74	resfinder	M17808	erm(F)	Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	erm(F)
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_53622	413	1228	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole	sul2
SRR21621036	/home/user/ww_amr_batch/contigs/SRR21621036.contigs.fa	k141_81767	288	1475	-	tet(39)_2	1-1188/1188	===============	0/0	100.00	99.92	resfinder	CP044518	tet(39)	Doxycycline;Tetracycline;Tigecycline	tet(39)
SRR21621037	/home/user/ww_amr_batch/contigs/SRR21621037.contigs.fa	k141_142466	67	867	-	blaOXA-119_1	1-801/801	===============	0/0	100.00	99.38	resfinder	DQ767903	blaOXA-119		blaOXA-119
SRR21621037	/home/user/ww_amr_batch/contigs/SRR21621037.contigs.fa	k141_144154	89	708	-	mph(G)_1	266-885/885	....===========	0/0	70.06	88.39	resfinder	AB571865	mph(G)	Erythromycin	mph(G)
SRR21621037	/home/user/ww_amr_batch/contigs/SRR21621037.contigs.fa	k141_155468	56	683	-	aph(3'')-Ib_2	177-804/804	...============	0/0	78.11	100.00	resfinder	AF024602	aph(3'')-Ib	Streptomycin	aph(3'')-Ib
SRR21621037	/home/user/ww_amr_batch/contigs/SRR21621037.contigs.fa	k141_167275	623	1330	+	blaOXA-464_1	10-717/762	===============	0/0	92.91	82.20	resfinder	KU721146	blaOXA-464		blaOXA-464
SRR21621037	/home/user/ww_amr_batch/contigs/SRR21621037.contigs.fa	k141_176332	1029	1895	-	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole	sul1
SRR21621037	/home/user/ww_amr_batch/contigs/SRR21621037.contigs.fa	k141_176332	2373	3183	-	ant(3'')-Ia_1	164-972/972	..======/======	1/2	83.23	99.63	resfinder	X02340	ant(3'')-Ia	Streptomycin	ant(3'')-Ia
SRR21621037	/home/user/ww_amr_batch/contigs/SRR21621037.contigs.fa	k141_179590	1045	1929	-	mph(E)_1	1-885/885	===============	0/0	100.00	100.00	resfinder	DQ839391	mph(E)	Erythromycin	mph(E)
SRR21621037	/home/user/ww_amr_batch/contigs/SRR21621037.contigs.fa	k141_179590	1985	3460	-	msr(E)_1	1-1476/1476	===============	0/0	100.00	100.00	resfinder	FR751518	msr(E)	Azithromycin;Erythromycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	msr(E)
SRR21621037	/home/user/ww_amr_batch/contigs/SRR21621037.contigs.fa	k141_181596	3622	4243	+	blaOXA-20_2	1-622/801	============...	0/0	77.65	100.00	resfinder	AF024602	blaOXA-20	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid	blaOXA-20
SRR21621037	/home/user/ww_amr_batch/contigs/SRR21621037.contigs.fa	k141_201418	542	1505	-	cfxA5_1	3-966/966	===============	0/0	99.79	99.48	resfinder	AY769934	cfxA5		cfxA5
SRR21621037	/home/user/ww_amr_batch/contigs/SRR21621037.contigs.fa	k141_285269	1	735	+	mph(A)_1	110-844/906	.=============.	0/0	81.13	100.00	resfinder	D16251	mph(A)	Azithromycin;Erythromycin;Spiramycin;Telithromycin	mph(A)
SRR21621037	/home/user/ww_amr_batch/contigs/SRR21621037.contigs.fa	k141_289996	214	740	+	blaOXA-256_1	1-527/801	==========.....	0/0	65.79	99.24	resfinder	HE616889	blaOXA-256		blaOXA-256
SRR21621037	/home/user/ww_amr_batch/contigs/SRR21621037.contigs.fa	k141_315362	1	651	+	blaIMP-33_1	91-741/741	.==============	0/0	87.85	99.54	resfinder	JN848782	blaIMP-33	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam	blaIMP-33
SRR21621037	/home/user/ww_amr_batch/contigs/SRR21621037.contigs.fa	k141_31891	1	555	+	aph(6)-Id_1	283-837/837	.....==========	0/0	66.31	99.82	resfinder	M28829	aph(6)-Id	Streptomycin	aph(6)-Id
SRR21621037	/home/user/ww_amr_batch/contigs/SRR21621037.contigs.fa	k141_332473	1	763	-	erm(F)_3	1-763/801	===============	0/0	95.26	98.56	resfinder	M17808	erm(F)	Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	erm(F)
SRR21621037	/home/user/ww_amr_batch/contigs/SRR21621037.contigs.fa	k141_344435	110	940	-	blaOXA-4_1	1-831/831	===============	0/0	100.00	100.00	resfinder	AY162283	blaOXA-4		blaOXA-4
SRR21621037	/home/user/ww_amr_batch/contigs/SRR21621037.contigs.fa	k141_385708	1	826	+	mef(B)_1	107-932/1230	.===========...	0/0	67.15	97.82	resfinder	FJ196385	mef(B)	Azithromycin;Erythromycin	mef(B)
SRR21621037	/home/user/ww_amr_batch/contigs/SRR21621037.contigs.fa	k141_401561	82	822	-	blaIMP-16_1	1-741/741	===============	0/0	100.00	100.00	resfinder	AJ584652	blaIMP-16	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam	blaIMP-16
SRR21621037	/home/user/ww_amr_batch/contigs/SRR21621037.contigs.fa	k141_62210	1159	3084	+	tet(Q)_1	1-1926/1926	===============	0/0	100.00	98.96	resfinder	L33696	tet(Q)	Doxycycline;Minocycline;Tetracycline	tet(Q)
SRR21621037	/home/user/ww_amr_batch/contigs/SRR21621037.contigs.fa	k141_66627	163	978	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole	sul2
SRR21621037	/home/user/ww_amr_batch/contigs/SRR21621037.contigs.fa	k141_76344	317	1089	+	blaOXA-20_2	27-800/801	========/======	1/1	96.50	85.27	resfinder	AF024602	blaOXA-20	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid	blaOXA-20
SRR21621038	/home/user/ww_amr_batch/contigs/SRR21621038.contigs.fa	k141_113375	261	1061	-	blaOXA-205_1	1-801/801	===============	0/0	100.00	97.25	resfinder	JF800667	blaOXA-205	Amoxicillin;Ampicillin;Piperacillin	blaOXA-205
SRR21621038	/home/user/ww_amr_batch/contigs/SRR21621038.contigs.fa	k141_136729	103	903	+	erm(F)_3	1-801/801	===============	0/0	100.00	99.75	resfinder	M17808	erm(F)	Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	erm(F)
SRR21621038	/home/user/ww_amr_batch/contigs/SRR21621038.contigs.fa	k141_151164	151	664	+	qnrS2_1	1-514/657	============...	0/0	78.23	100.00	resfinder	DQ485530	qnrS2	Ciprofloxacin	qnrS2
SRR21621038	/home/user/ww_amr_batch/contigs/SRR21621038.contigs.fa	k141_156221	1396	2280	-	mph(E)_1	1-885/885	===============	0/0	100.00	100.00	resfinder	DQ839391	mph(E)	Erythromycin	mph(E)
SRR21621038	/home/user/ww_amr_batch/contigs/SRR21621038.contigs.fa	k141_156221	2336	3811	-	msr(E)_1	1-1476/1476	===============	0/0	100.00	100.00	resfinder	FR751518	msr(E)	Azithromycin;Erythromycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S	msr(E)
SRR21621038	/home/user/ww_amr_batch/contigs/SRR21621038.contigs.fa	k141_23723	326	1041	-	aadA11_1	131-846/846	..=============	0/0	84.63	99.72	resfinder	AY144590	aadA11	Spectinomycin;Streptomycin	aadA11
SRR21621038	/home/user/ww_amr_batch/contigs/SRR21621038.contigs.fa	k141_28608	35	835	-	blaOXA-256_1	1-801/801	===============	0/0	100.00	99.25	resfinder	HE616889	blaOXA-256		blaOXA-256
SRR21621038	/home/user/ww_amr_batch/contigs/SRR21621038.contigs.fa	k141_286454	7	497	-	blaOXA-20_1	2-492/801	==========.....	0/0	61.30	91.24	resfinder	AY307114	blaOXA-20	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid	blaOXA-20
SRR21621038	/home/user/ww_amr_batch/contigs/SRR21621038.contigs.fa	k141_295269	1	817	+	tet(X)_2	303-1119/1167	...============	0/0	70.01	99.88	resfinder	M37699	tet(X)	Doxycycline;Minocycline;Tetracycline;Tigecycline	tet(X)
SRR21621038	/home/user/ww_amr_batch/contigs/SRR21621038.contigs.fa	k141_317584	159	920	+	aadA5_1	1-762/789	===============	0/0	96.58	100.00	resfinder	AF137361	aadA5	Spectinomycin;Streptomycin	aadA5
SRR21621038	/home/user/ww_amr_batch/contigs/SRR21621038.contigs.fa	k141_356183	120	922	+	ant(3'')-Ia_1	170-972/972	..=============	0/0	82.61	98.26	resfinder	X02340	ant(3'')-Ia	Streptomycin	ant(3'')-Ia
SRR21621038	/home/user/ww_amr_batch/contigs/SRR21621038.contigs.fa	k141_356183	1360	2226	+	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole	sul1
SRR21621038	/home/user/ww_amr_batch/contigs/SRR21621038.contigs.fa	k141_364002	1	603	-	mph(G)_1	122-724/885	..===========..	0/0	68.14	97.68	resfinder	AB571865	mph(G)	Erythromycin	mph(G)
SRR21621038	/home/user/ww_amr_batch/contigs/SRR21621038.contigs.fa	k141_370522	663	829	+	dfrB6_1	64-230/237	....===========	0/0	70.46	81.44	resfinder	DQ274503	dfrB6	Trimethoprim	dfrB6
SRR21621038	/home/user/ww_amr_batch/contigs/SRR21621038.contigs.fa	k141_382670	1	548	+	blaGES-20_1	317-864/864	.....==========	0/0	63.43	99.82	resfinder	JN596280	blaGES-20	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefoxitin;Ceftazidime;Piperacillin;Ticarcillin	blaGES-20
SRR21621038	/home/user/ww_amr_batch/contigs/SRR21621038.contigs.fa	k141_405703	1496	2268	+	blaOXA-20_2	27-800/801	========/======	1/1	96.50	85.27	resfinder	AF024602	blaOXA-20	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid	blaOXA-20
SRR21621038	/home/user/ww_amr_batch/contigs/SRR21621038.contigs.fa	k141_431534	132	947	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole	sul2
